method,bacterial_count
water,74
soap,84
antibacterial soap,70
alcohol spray,51
water,135
soap,51
antibacterial soap,164
alcohol spray,5
water,102
soap,110
antibacterial soap,88
alcohol spray,19
water,124
soap,67
antibacterial soap,111
alcohol spray,18
water,105
soap,119
antibacterial soap,73
alcohol spray,58
water,139
soap,108
antibacterial soap,119
alcohol spray,50
water,170
soap,207
antibacterial soap,20
alcohol spray,82
water,87
soap,102
antibacterial soap,95
alcohol spray,17
